漢字,羅馬字,建議順序,類型
寰,Huân,1,
尉,Ut,1,
尢,Ong,1,
尹,Ún,1,
尹,Ín,2,
岑,Gîm,1,
岑,Khîm,2,
岱,Tāi,1,
峨,Ngôo,1,
峨,Gô,2,
峯,Hong,1,
崎,Khi,1,
崎,Kî,2,
崎,Kiā,3,
嵇,Ke,1,
嵇,Khe,2,
嵬,Guî,1,
巖,Giâm,1,
巫,Bû,1,
庶,Sù,1,
庶,Sì,2,
庹,Tô,1,
庾,Jú,1,
庾,Lú,2,
庾,Jí,3,
廬,Lû,1,
廬,Lî,2,
弋,I̍k,1,
弗,Hut,1,
弭,Bí,1,
强,Kiông,1,
强,Kiâng,2,
弼,Pi̍t,1,
徽,Hui,1,
忻,Him,1,
恒,Hîng,1,
您,Ní,1,
您,Lín,2,
惲,Ûn,1,
惲,Hún,2,
惲,Ún,3,
愷,Khái,1,
憨,Ham,1,
戈,Ko,1,
戎,Jiông,1,
戎,Liông,2,
戎,Giông,3,
戢,Tship,1,
扈,Hōo,1,
扎,Tsat,1,
拉,Lia̍p,1,
拉,Liap,2,
挪,Lô,1,
挪,Ná,2,
揣,Tshuí,1,
攸,Iû,1,
敖,Ngôo,1,
旃,Tsian,1,
旻,Bîn,1,
旻,Bûn,2,
昶,Tshióng,1,
晁,Tiâu,1,
晋,Tsìn,1,
晤,Gōo,1,
晤,Ngōo,2,
暹,Siām,1,
曙,Sū,1,
曙,Sī,2,
曜,Iāu,1,
曩,Lóng,1,
曬,Sài,1,
曷,Hat,1,
朮,Tsu̍t,1,
朶,Tó,1,
朶,Tóo,2,
机,Ki,1,
朿,Tshù,1,
朿,Tshì,2,
杬,Guân,1,
杲,Hó,1,
杲,Kó,2,
杻,Liú,1,
枇,Pî,1,
柒,Tshit,1,
柘,Tsià,1,
桓,Huân,1,
棘,Kik,1,
椎,Tsui,1,
椿,Thun,1,
椿,Tshun,2,
楮,Tsú,1,
楮,Tsí,2,
楮,Tóo,3,
榎,Ká,1,
樊,Huân,1,
欒,Luân,1,
殳,Sû,1,
毆,Áu,1,
毆,Ió,2,
毆,Oó,3,
毋,Bû,1,
汝,Jú,1,
汝,Lú,2,
汝,Jí,3,
汨,Bi̍k,1,
汲,Khip,1,
汴,Piān,1,
汶,Bûn,1,
汶,Būn,2,
洑,Ho̍k,1,
浣,Uán,1,
浣,Uān,2,
淦,Khàm,1,
淦,Lam,2,
淦,Kàm,3,
淩,Lîng,1,
淳,Sûn,1,
渚,Tsú,1,
渚,Tsí,2,
渠,Kû,1,
渠,Kî,2,
渥,Ak,1,
湄,Bî,1,
湛,Tām,1,
溥,Phóo,1,
滕,Tîng,1,
潼,Tông,1,
澹,Tām,1,
濮,Po̍k,1,
濶,Khuat,1,
濶,Khuah,2,
焉,Ian,1,
熙,Hi,1,
爾,Ní,1,
牟,Bôo,1,
犂,Lê,1,
犂,Luê,2,
狄,Ti̍k,1,
玖,Káu,1,
珞,Lo̍k,1,
珷,Bú,1,
琥,Hóo,1,
琨,Khun,1,
琺,Huat,1,
瑁,Mōo,1,
瑦,Oó,1,
瑦,Oo,2,
璐,Lōo,1,
璣,Ki,1,
璩,Kû,1,
璩,Kî,2,
璽,Sú,1,
璽,Sí,2,
甦,Soo,1,
甯,Lîng,1,
甯,Līng,2,
甯,Līn,3,
甯,Bīng,4,
皋,Ko,1,
盧,Lôo,1,
眞,Tsin,1,
眭,Kuì,1,
眸,Bôo,1,
眸,Biô,2,
睢,Tsu,1,
睢,Tshu,2,
睿,Juē,1,
睿,Luē,2,
瞿,Khû,1,
矦,Hâu,1,
矦,Kâu,2,
祁,Kî,1,
祗,Kî,1,
祗,Tsi,2,
禚,Tsiok,1,
种,Thiông,1,
稽,Khe,1,
穆,Bo̍k,1,
穰,Jiông,1,
穰,Liông,2,
穰,Giông,3,
竭,Kia̍t,1,
笪,Tàn,1,
筱,Siáu,1,
粘,Liâm,1,
綦,Kî,1,
緱,Kau,1,
繞,Jiáu,1,
繞,Liáu,2,
繞,Giáu,3,
羋,Bí,1,
羗,Kiong,1,
羗,Khiong,2,
翟,Ti̍k,1,
翦,Tsián,1,
耷,Tap,1,
耿,Kíng,1,
聶,Lia̍p,1,
聶,Liap,2,
脩,Siu,1,
臧,Tsong,1,
芮,Juē,1,
芮,Luē,2,
苫,Siam,1,
苻,Hû,1,
茆,Bâ,1,
茍,Kóo,1,
茍,Kió,2,
茜,Tshiàn,1,
茬,Sî,1,
茹,Jû,1,
茹,Lû,2,
茹,Jî,3,
荻,Ti̍k,1,
莉,Tî,1,
莉,Nī,2,
莒,Kú,1,
莒,Kí,2,
莘,Sin,1,
菅,Kan,1,
菰,Koo,1,
菽,Siok,1,
萇,Tiông,1,
萱,Suan,1,
葒,Hông,1,
葳,Ui,1,
蒯,Kuái,1,
蓓,Puē,1,
蔣,Tsiúnn,1,
蔣,Tsiónn,2,
蔴,Muâ,1,
蕘,Jiâu,1,
蕘,Liâu,2,
蕘,Giâu,3,
蕢,Kuī,1,
薛,Sih,1,
薜,Phik,1,
藞,Luá,1,
藺,Līn,1,
蘧,Kû,1,
蘧,Kî,2,
蘿,Lô,1,
虞,Gû,1,
虞,Gî,2,
虢,Khik,1,
蚋,Juē,1,
蚋,Luē,2,
螘,Gí,1,
衞,Uē,1,
袁,Uân,1,
裴,Puê,1,
褚,Thú,1,
褚,Thí,2,
覃,Thâm,1,台日打
覃,Tsîm,2,十
覃,Sîm,3,十
訇,Hông,1,
訾,Tshú,1,
誾,Gûn,1,
諶,Sîm,1,
譙,Tsiâu,1,
豊,Lé,1,
豋,Ting,1,
貊,Bi̍k,1,
賁,Huî,1,
賃,Jīm,1,
賃,Lîm,2,
賃,Gīm,3,
賡,King,1,
赫,Hik,1,
蹇,Kián,1,
軋,At,1,
迮,Tsik,1,
迮,Tsok,2,
适,Kuat,1,
逄,Pâng,1,
逯,Lio̍h,1,
邢,Hîng,1,
那,Lô,1,
邯,Hân,1,
邰,Thai,1,
邱,Khu,1,
邳,Pi,1,
邴,Píng,1,
邵,Siō,1,
邵,Siāu,2,
邾,Tsu,1,
邾,Tu,2,
郄,Khik,1,
郅,Tsit,1,
郇,Huân,1,
郇,Sûn,2,
郗,Thi,1,
郗,Hi,2,
郚,Gôo,1,
郚,Ngôo,2,
郜,Khò,1,
郝,Hok,1,
郝,Hik,2,
郝,Hi̍k,3,
郟,Kiap,1,
郤,Khik,1,
鄂,Go̍k,1,
鄒,Tsau,1,
鄒,Tsoo,2,
鄒,Tse,3,
鄒,Tsio,4,
鄒,Tsiu,5,側鳩切
鄔,Oo,1,
鄞,Khûn,1,
鄞,Khîn,2,
鄢,Ian,1,
鄶,Kuè,1,
鄷,Hong,1,
酈,Li̍k,1,
酈,Lê,2,
釗,Tsiau,1,
鈄,Thóo,1,
鈄,Thió,2,
鉉,Hiân,1,
銓,Tshuan,1,
錡,Gî,1,
錡,Kî,2,
錡,Í,3,
鐔,Sîm,1,
閆,Giâm,1,
閈,Hān,1,
閑,Hân,1,
閤,Khap,1,
閤,Ha̍p,2,
閥,Hua̍t,1,
閭,Lû,1,
閭,Lî,2,
闇,Àm,1,
闇,Am,2,
闇,Ám,3,
闞,Khàm,1,
隋,Suî,1,
隗,Guí,1,
隗,Uî,2,
隴,Liông,1,
隴,Lóng,2,
雋,Tsùn,1,
雍,Iong,1,
雎,Tsu,1,
雎,Tsi,2,
雒,Lo̍k,1,
雛,Tshu,1,
雛,Tshi,2,
霄,Sio,1,
霍,Hok,1,
霓,Gê,1,
霙,Ing,1,
靛,Tiān,1,
靛,Tīng,2,
靛,Tiānn,3,
靛,Tāinn,4,
靳,Kìn,1,
靼,Tat,1,
韶,Siâu,1,
頊,Hiok,1,
馥,Hok,1,
馮,Pâng,1,
駒,Khu,1,
駒,Khi,2,
騫,Hian,1,
騫,Khian,2,
魏,Guī,1,
麼,Môo,1,
龔,Kíng,1,
龔,Kióng,2,
龔,Kiong,3,
𥕥,Au,1,
妏,Bûn,1,集韻
妏,Būn,2,集韻泉
妤,Û,1,
妤,Î,2,
苡,Í,1,
亞,À,1,
亞,A,2,
彦,Gān,1,
彦,Giān,2,
温,Un,1,
黄,N̂g,1,
黄,Uînn,2,
凃,Thôo,1,
張簡,Tiunn-kán,1,
張簡,Tionn-kán,2,
歐陽,Au-iông,1,
歐陽,Au-iâng,2,
范姜,Huān-kiong,1,教典
范姜,Huān-kiang,2,
范姜,Huān-khiang,3,林建輝
龎,Pâng,1,
龎,Bâng,2,
𡍼,Tôo,1,
𡍼,Thôo,2,
鄺,Kóng,1,
鄺,Khòng,2,
髙,Ko,1,
𨶒,Giâm,1,白
𨶒,Iâm,2,文
顔,Gân,1,
周黃,Tsiu-n̂g,1,
周黃,Tsiu-uînn,2,
禇,Thú,1,
禇,Thí,2,
江謝,Kang-tsiā,1,
江謝,Kang-tiā,2,
冼,Sián,1,
司徒,Su-tôo,1,
栢,Peh,1,
張廖,Tiunn-liāu,1,
張廖,Tionn-liāu,2,
胥,Su,1,
胥,Si,2,
翁林,Ang-lîm,1,
翁林,Ong-lîm,2,
姜林,Khiong-lîm,1,
姜林,Kiang-lîm,2,
上官,Siōng-kuan,1,
酆,Hong,1,
亷,Liâm,1,
関,Kuan,1,
𡩋,Lîng,1,
𡩋,Līng,2,
𡩋,Līn,3,
𡩋,Bīng,4,
朱陳,Tsu-tân,1,
端木,Tuan-bo̍k,1,
邱黃,Khu-n̂g,1,
邱黃,Khu-uînn,2,
諸葛,Tsu-kat,1,
葉劉,Ia̍p-lâu,1,
姫,Tsín,1,
昝,Tsám,1,
盂,Û,1,
張李,Tiunn-lí,1,
張李,Tionn-lí,2,
王李,Ông-lí,1,
皇甫,Hông-hú,1,
禤,Huan,1,
邜,Báu,1,
阮呂,Ńg-lī,1,
阮呂,Ńg-lū,2,
阮呂,Uán-lū,3,
阮呂,Uán-lī,4,
阮呂,Uínn-lī,5,
栁,Liú,1,
闗,Kuan,1,
劉黃,Lâu-n̂g,1,
劉黃,Lâu-uînn,2,
桞,Liú,1,
杞,Kí,1,
陳李,Tân-lí,1,
陳吳,Tân-ngôo,1,
陳吳,Tân-gôo,2,
林吳,Lîm-ngôo,1,
林吳,Lîm-gôo,2,
歐李,Au-lí,1,
張許,Tiunn-khóo,1,
張許,Tionn-khóo,2,
唐,Tn̂g,1,
唐,Tông,2,
芶,Kóo,1,
芶,Kió,2,
𬓽,Bo̍k,1,
茒,Bâ,1,
曺,Tsô,1,
曺,Tsôo,2,
尉遲,Ut-tî,1,
申屠,Sin-tôo,1,
徐辜,Tshî-koo,1,
張陳,Tiunn-tân,1,
張陳,Tionn-tân,2,
司馬,Su-má,1,
陳黃,Tân-n̂g,1,
陳黃,Tân-uînn,2,
邹,Tsau,1,
邹,Tsoo,2,
邹,Tse,3,
邹,Tsio,4,
蘇陳,Soo-tân,1,
郭李,Kueh-lí,1,
郭李,Keh-lí,2,
李林,Lí-lîm,1,
李陳,Lí-tân,1,
徐陳,Tshî-tân,1,
灍,Khuat,1,
劉張,Lâu-tiunn,1,
劉張,Lâu-tionn,2,
周,Tsiu,1,
荆,King,1,
蔡黃,Tshuà-n̂g,1,
蔡黃,Tshuà-uînn,2,
芦,Lôo,1,
䝉,Bông,1,
洪許,Âng-khóo,1,
張楊,Tiunn-iûnn,1,
張楊,Tionn-iônn,2,
况,Hòng,1,
王劉,Ông-lâu,1,
黃吳,N̂g-ngôo,1,
黃吳,N̂g-gôo,2,
黃吳,Uînn-ngôo,3,
黃吳,Uînn-gôo,4,
冦,Khòo,1,
軒轅,Hian-uân,1,
陳許,Tân-khóo,1,
夏侯,Hā-hôo,1,
夏侯,Hā-hiô,2,
鮮于,Sian-u,1,
鮮于,Sian-i,2,
李王,Lí-ông,1,
曾林,Tsan-lîm,1,
謝林,Tsiā-lîm,1,
謝林,Siā-lîm,2,
麻,Muâ,1,
麻,Mâu,2,
余楊,Û-iûnn,1,
余楊,Î-iûnn,2,
余楊,Û-iônn,3,
余楊,Î-iônn,4,
菈,La̍p,1,
籴,Tô,1,
陳辜,Tân-koo,1,
李黃,Lí-n̂g,1,
李黃,Lí-uînn,2,
郭黃,Kueh-n̂g,1,
郭黃,Keh-n̂g,2,
郭黃,Kueh-uînn,3,
税,Suè,1,
税,Sè,2,
旮,Hiok,1,
令狐,Lîng-hôo,1,
索南,Sik-lâm,1,
索南,Soh-lâm,2,
𨿅,Lo̍h,1,
黃沈,N̂g-sím,1,
黃沈,Uînn-sím,2,
隥,Tìng,1,
貟,Ūn,1,
亣,Tuā,1,
鎦,Liû,1,
鄭黃,Tēnn-n̂g,1,
鄭黃,Tīnn-n̂g,2,
鄭黃,Tēnn-uînn,3,
顓孫,Tsuan-sun,1,
淳于,Sûn-u,1,
淳于,Sûn-i,2,
陳彭,Tân-phênn,1,
陳彭,Tân-phînn,2,
隂,Iam,1,
吳游,Ngôo-iû,1,
吳游,Gôo-iû,2,
莊吳,Tsng-ngôo,1,
莊吳,Tsng-gôo,2,
嘺,Khiau,1,
方鄒,Png-tsoo,1,
方鄒,Png-tse,2,
方鄒,Png-tsio,3,
方鄒,Puinn-tsoo,4,
方鄒,Puinn-tse,5,
吳鄭,Ngôo-tēnn,1,
吳鄭,Ngôo-tīnn,2,
吳鄭,Gôo-tēnn,3,
吳鄭,Gôo-tīnn,4,
格桑,Kik-song,1,
濮陽,Po̍k-iông,1,
㒰,Tsn̂g,1,
㒰,Tsuînn,2,
土登,Thóo-ting,1,
戴楊,Tè-iûnn,1,
戴楊,Tè-iônn,2,
陳呂,Tân-lī,1,
陳呂,Tân-lū,2,
劉范,Lâu-huān,1,
盖,Kài,1,
札西,Tsat-se,1,
廖蔡,Liāu-tshuà,1,
裵,Puê,1,
仼,Ông,1,
𠍐,Līng,1,
蔄,Bān,1,
紀,Kì,1,
噶,Kat,1,
旦增,Tàn-tsing,1,
朱翁,Tsu-ang,1,
朱翁,Tsu-ong,2,
江周,Kang-tsiu,1,
沈游,Sím-iû,1,
東方,Tong-hong,1,
康張,Khng-tiunn,1,
康張,Khng-tionn,2,
第五,Tē-ngóo,1,
郭洪,Kueh-âng,1,
郭洪,Keh-âng,2,
劉許,Lâu-khóo,1,
噶瑪,Kat-má,1,
遆,Tê,1,
𪧟,Lîng,1,
𪧟,Līng,2,
𪧟,Līn,3,
𪧟,Bīng,4,
佡,Sian,1,
李梁,Lí-niû,1,
李梁,Lí-niôo,2,
孫林,Sng-lîm,1,
孫林,Sun-lîm,2,
孫林,Suinn-lîm,3,
冮,Kong,1,
㳺,Iû,1,
䌓,Huân,1,
𠔌,Kak,1,
王顏,Ông-gân,1,
徐謝,Tshî-tsiā,1,
徐謝,Tshî-siā,2,
張趙,Tiunn-tiō,1,
張趙,Tionn-tiō,2,
陸費,Lio̍k-huì,1,
陸費,Lio̍k-pì,2,
陸費,Li̍k-huì,3,
陸費,Li̍k-pì,4,
婀,Ó,1,
曽,Tsan,1,
楼,Lâu,1,
𣾰,Tshat,1,
朵,Tó,1,
朵,Tóo,2,
扆,Í,1,
扎西,Tsat-se,1,
延陵,Tshiân-lîng,1,
延陵,Iân-lîng,2,
胡周,Ôo-tsiu,1,
益西,Ik-se,1,
貢佈,Kòng-pòo,1,
袞桑,Kún-song,1,
連林,Liân-lîm,1,
褚阮,Thú-ńg,1,
褚阮,Thí-ńg,2,
褚阮,Thú-uán,3,
褚阮,Thí-uán,4,
褚阮,Thí-uínn,5,
鍾張,Tsing-tiunn,1,
鍾張,Tsiong-tiunn,2,
鍾張,Tsing-tionn,3,
鍾張,Tsiong-tionn,4,
呙,Ko,1,
呙,Koo,2,
𡻕,Suè,1,
𡻕,Huè,2,
𡻕,Hè,3,
𦍋,Iûnn,1,
𦍋,Iônn,2,
閰,Kiok,1,
𣓾,Iûnn,1,
𣓾,Iônn,2,
朱吳,Tsu-ngôo,1,
朱吳,Tsu-gôo,2,
嘟,Too,1,
礒,Gí,1,
啦,La,1,
横,Hîng,1,
横,Huâinn,2,
横,Huînn,3,
廸,Ti̍k,1,
花,Hua,1,
笹,Sè,1,
笹,Sì,2,
樋,Thong,1,
􀀻,Kî,1,
冒,Mōo,1,
鎻,Tshó,1,
优,Iu,1,
禢,Suan,1,
白瑪,Pe̍h-má,1,
曾江,Tsan-kang,1,
婭,À,1,
猪,Ti,1,
猪,Tu,2,
猪,Tsu,3,
亜,À,1,
亜,A,2,
嶋,Tó,1,
嶋,Tóo,2,
澁,Sip,1,
澁,Siap,2,
濵,Pin,1,
丸,Huân,1,
𫎇,Bông,1,
刘,Lâu,1,
包,Pau,1,
包,Pâu,2,
兪,Jû,1,
兪,Lû,2,
兪,Jî,3,
𨐋,Khian,1,
䔥,Sio,1,
䔥,Siau,2,
袓,Tsū,1,
袓,Tsī,2,
袓,Tsia,3,
啊,Ò,1,
欸,Ái,1,
溤,Pâng,1,
鄚,Bo̍k,1,
褟,Tap,1,
錒,O,1,
黟,I,1,
公羊,Kong-iông,1,
文樂,Bûn-lo̍k,1,
比嘉,Pí-ka,1,
王易,Ông-ia̍h,1,
旦巴,Tàn-pa,1,
伊西,I-se,1,
江田,Kang-tiân,1,
孫劉,Sng-lâu,1,
孫劉,Sun-lâu,2,
孫劉,Suinn-lâu,3,
薛林,Sih-lîm,1,
鐘簡,Tsing-kán,1,
鐘簡,Tsiong-kán,2,
嗨,Hai,1,
鋇,Puè,1,
璦,Ài,1,
嚕,Lóo,1,
帾,Tóo,1,
翋,La̍p,1,
銗,Hiō,1,
銗,Hōo,2,
駷,Sióng,1,
児,Jî,1,
児,Lî,2,
児,Gî,3,
别,Piat,1,
沢,Ti̍k,1,
廼,Nái,1,
玽,Kió,1,
玽,Góo,2,
㧱,Nái,1,
栾,Luân,1,
舩,Tsûn,1,
舩,Suân,2,
珻,Muî,1,
喩,Jū,1,
喩,Lū,2,
喩,Jī,3,
寛,Khuann,1,
楳,Muî,1,
楳,M̂,2,
綫,Sàn,1,
鄥,Khiau,1,
𠤎,Huà,1,
𠤎,Huè,2,
起,Khí,1,
敬,Kìng,1,
夢,Bāng,1,
𦾐,Nâ,1,
匂,Pí,1,
𫡼,Tsô,1,
𫡼,Tsôo,2,
𪷂,Bōo,1,同慕
𦮦,Hm̂,1,
竪,Sū,1,
竪,Sī,2,
鳯,Hōng,1,
奥,Ò,1,
𡖖,Khing,1,
𧝁,Suan,1,
𨓻,Tāi,1,
𥘉,Tshe,1,
𥘉,Tshue,2,
釔,It,1,
𣬂,Kuàn,1,
宾,Pin,1,
鎨,Sún,1,
公孫,Kong-sun,1,
南宮,Lâm-kiong,1,
陳廖,Tân-liāu,1,
慕容,Bōo-iông,1,
