義項id,詞目漢字,解說,對應詞目id,對應詞目漢字
13833,跤尖手幼,細皮嫩肉、玉手纖纖。,19022,粗跤粗手
13886,誠實,真實的、真的。,18906,假的
14048,過意,安心。,18095,未過心
14048,過意,安心。,19359,過袂得去
14205,隔轉工,翌日、隔天。,18545,前一工
14205,隔轉工,翌日、隔天。,18546,前一日
14273,嘐潲話,吹牛、虛妄的大話。,18276,老實話
14273,嘐潲話,吹牛、虛妄的大話。,19389,實在話
14426,慢性,性情不急躁。,4939,急性
14661,精,肉的脂肪少。,4420,肥
14702,算袂和,划不來。不合算、不值得。,19288,會和盤
14847,誤解,誤會。判斷錯誤。,22132,了解
14850,趕緊,加快動作的速度。,29578,勻聊仔
15043,增加,增添、加多。,22177,減少
15299,熟手,對於某種事物專精熟練的人。,24586,菜鳥
15636,請假,因病或事情而請求准許休假。,19489,銷假
15953,懊嘟嘟,氣嘟嘟、擺臭臉。臉臭臭的，懊惱的樣子。,18820,笑咪咪
16059,燒,溫暖。,2874,冷
16059,燒,溫暖。,7474,涼
16060,燒,溫度高。,2103,冰
16060,燒,溫度高。,2874,冷
16071,燒水,熱水。溫度高的水。,25073,冷水
16247,親切,和善懇切。,24038,冷淡
16445,頭前,前面、前方。指空間、次序上比較先的。,4930,後尾
16445,頭前,前面、前方。指空間、次序上比較先的。,4945,後面
16539,優點,好處、長處。,17984,欠點
16662,濟濟,很多、數量眾多。,17905,少少
16755,臊,葷食。,6479,素
16755,臊,葷食。,8930,菜
16929,闊莽莽,形容非常遼闊，一望無垠。,18802,狹櫼櫼
16935,闊閬閬,非常寬闊。,18802,狹櫼櫼
17104,舊式,舊有的形式或樣式。,26545,新式
17131,舊曆,農曆。漢族傳統通行的曆法，屬「陰陽合曆」的一種。大月三十天，小月二十九天；平年一年十二個月，閏年十三個月。,18934,國曆
17204,謹慎,對自己的言行或外界事務格外小心仔細，以避免有不利或不幸的事情發生。,18124,生猴
17275,雞屎運,嘲諷或自嘲意外得到的好處。,18864,衰潲運
17313,離緣,離婚。夫婦依照法定手續解除婚姻關係。,22534,結婚
17514,譀話,空話。不切實際的話。,19389,實在話
17611,懸,高、高聳、高挺。,170,低
17689,贏面,上風、勝算、優勢。指處於有利的形勢或環境。,19144,無面
17720,鹹,含鹽分或鹽味的。,3278,汫
17896,彎,不直的、彎曲的。,4373,直
18373,𤲍,擁擠。,582,冗
18472,大伯仔,丈夫的大哥。,17791,小叔仔
18474,小食,食量小的。,19752,大食
18530,定親,訂婚、文定。男女雙方在結婚前締定婚約的儀式。,18883,退親
18542,前世人,前世、上輩子。,18585,後世
18545,後過,下次。將來。,19058,頂回
18575,袂赴市,時間短暫，無法趕上或顧及。,19788,會赴
18575,袂赴市,時間短暫，無法趕上或顧及。,19789,會赴市
18577,起帆,揚帆。撐起船帆，常指準備出航。,19790,落帆
18591,接神,迎接神佛。,19795,送尪
18592,晚冬,二期稻作。,8030,頂冬
18593,涼的,冷飲或冰品的總稱。,19802,燒的
18596,深山林內,深山窮谷、窮山僻壤。人跡罕至的偏遠山區。,19805,繁華都市
18616,無盤,不划算。,19288,會和盤
18616,無盤,不划算。,19813,會和
18645,新正年頭,農曆春節期間。,19829,年尾兜
18645,新正年頭,農曆春節期間。,19830,舊年尾
18655,落台,下臺。走下舞臺、講臺等。,23550,上台
18656,落台,下臺。比喻離開或被解除高階職務。,298,上任
18663,路尾,路的盡頭。,10238,路頭
18674,實䈄,竹子或甘蔗的節與節之間的距離較短。,19317,落目
18680,滾耍笑,開玩笑。,19837,做正經
18759,一疕仔,一小片、一點點。形容微不足道，帶有貶義。,19868,一大片
18767,入心,形容接受進去，常做補語。,19872,馬耳東風
18771,上尾,最後。,19874,上頭
18809,反種,生物由原種變生的新種。,19894,正種
18811,反種,混種的。,19894,正種
18819,少歲,年輕。,19898,濟歲
18836,歹吉兆,凶兆。壞的預兆。,19908,好吉兆
18836,歹吉兆,凶兆。壞的預兆。,19909,好頭彩
18837,歹吉兆,不吉利。,19908,好吉兆
18874,仝沿,同輩、同儕、平輩。可指同年齡層或同輩份。,19930,頂下沿
18889,外埠頭,外地、外鄉鎮。,19944,本埠
18894,平洋,平原、平地。平坦廣闊的原野。,24184,山地
18895,正範,真品、真貨。也指正牌，正規，名副其實的身份。,19949,假範
18928,在欉的,指水果剛從樹上摘下來。,19965,隱的
18933,好代,好事、善行事。,19966,歹事
18934,好代,好消息。,19966,歹事
18936,好份,好份。好的部份。,19967,歹份
18938,好看頭,指模樣好，有看頭。,1000,歹看相
18938,好看頭,指模樣好，有看頭。,19968,歹看頭
18969,自家用的,指自家轎車；私人使用的。,19982,計程仔
18969,自家用的,指自家轎車；私人使用的。,19983,叫客的
18969,自家用的,指自家轎車；私人使用的。,19984,營業車
19089,門口埕,前庭、前院。,20038,後埕
19089,門口埕,前庭、前院。,20039,後壁埕
19089,門口埕,前庭、前院。,20040,後尾埕
19090,文光尺,小木匠師所用的尺，長度為一尺四寸四，其上刻有「財病離義官劫害本」八格的吉凶尺寸，多用於丈量門窗，一般的師傅常將「文光尺」和「魯班尺(魯班公尺)」視作相同的尺，但也有不同地方的師傅認定兩者是不同的尺。門光尺為陽宅所用，陰宅則用丁蘭尺。民間一般寫作「文公尺」，建築勘輿學者則認為與「門光星」有關聯，因此也寫做「門光尺」。,20041,丁蘭尺
19101,咱人,指農曆。可以說是「咱人的曆日」(lán-lâng ê la̍h-ji̍t)的簡略說法，是臺灣人原本使用的傳統曆法，相對於日治時代日本人引進的新式曆法。,18934,國曆
19107,巷仔內的,行家、內行人。「巷仔內」本指巷子裡，和「行仔內」(hâng-á-lāi)諧音相關，用於指某行業、領域內的行家、專家。,20050,外行的
19107,巷仔內的,行家、內行人。「巷仔內」本指巷子裡，和「行仔內」(hâng-á-lāi)諧音相關，用於指某行業、領域內的行家、專家。,20051,外行人
19151,限時批,限時信。郵政用語，寄送時間較平信為短的信件。,20070,普通批
19151,限時批,限時信。郵政用語，寄送時間較平信為短的信件。,20071,平信
19177,倒拗,反折。,20074,正拗
19180,倒轉去,回去、返家。,22551,出去
19193,師仔工,指學徒等級的工錢或技術。,20075,師傅工
19243,草地倯,土包子、鄉巴佬。戲稱沒見過世面、不懂規矩的鄉下人。,20091,臺北倯
19243,草地倯,土包子、鄉巴佬。戲稱沒見過世面、不懂規矩的鄉下人。,20092,市內倯
19246,荏身命,天生體質虛弱，容易生病。,20096,勇身命
19264,退流,退潮。,17948,水滇
19264,退流,退潮。,19627,翻流
19264,退流,退潮。,20107,飽流
19276,做水,淹水、鬧水災。,20112,做旱
19290,徙岫,動物遷徙窩巢。也用來戲稱人搬家、挪動桌位等。,24051,定居
19314,規家伙仔,全家人。,20139,一箍人
19320,軟市,市場交易不熱絡。,20145,利市
19392,買手,買主。,20165,賣主
19399,韌命,有韌性、生命力強，經得起磨難。,20168,脆命
19430,極加,最多、頂多。用來說明數量上、程度上等頂多如何。,17814,上起碼
19432,歇睏日,假日。,20182,上班日
19433,歇睏時仔,休息時間。,20183,上班時間
19434,歇睏時仔,假日。,20182,上班日
19442,矮仔冬瓜,矮冬瓜。對矮小的人的謔稱。,27347,躼跤的
19443,矮鼓,指身材矮小的意思。,20191,懸大
19454,落山,下山。,225,上山
19456,落貨,卸貨。搬下所載的貨物。,19334,裝貨
19456,落貨,卸貨。搬下所載的貨物。,20196,疊貨
19502,漚步,賤招、卑劣的伎倆、手段。,20222,君子步
19503,漚屎步,惡劣手段。惡劣的方法或計謀。,20222,君子步
19509,緊氣,迅速、速度快。「氣(khuì)」是形容詞後綴。,20225,慢氣
19513,趖跤趖手,形容動作慢吞吞，拖拖拉拉，反應遲鈍。,20226,緊跤緊手
19557,褪毛,褪換新的羽毛。,20256,發毛
19568,頭兄,首腦人物。,19024,細漢的
19568,頭兄,首腦人物。,20267,下跤手
19610,懸頂,上面、上頭。,22958,下面
19628,儼硬,堅強。,7935,軟汫
19628,儼硬,堅強。,7948,軟弱
19640,變無魍,搞不出花樣。,20299,變魍
19644,鷹仔目,鷹眼、銳利的眼神。比喻眼神像老鷹的一樣銳利。,20301,菜鴿目
19660,無局,無聊。,20320,有局
19661,無局,沒有趣味、乏味。,20320,有局
19662,無局,不划算。,20320,有局
19667,入來,進來。從外面進到裡面。,22551,出去
19669,大的,老大、大哥，對團體領導者的敬稱，通常用於下對上的稱呼語。,19024,細漢的
19676,以早,以前、從前。,18584,後日仔
19684,好命,命好。即指人的出身好或際遇好。,20324,㾀命
21877,花貓貓,形容顏色花樣多得讓人受不了。,27252,素色
21887,規半晡,大半天、老半天，指一天當中的一段長時間。,17727,一下仔
21888,頂改,上次、上回。,18590,後改
21888,頂改,上次、上回。,19779,後回
21888,頂改,上次、上回。,27263,後遍
21888,頂改,上次、上回。,27264,後見
21889,斯當時,那時、當時，就在那個時間點。,24304,這時
21897,滇流,漲潮。地球上的海洋表面受到太陽和月球的引力（潮汐力）作用引起的海水面上升的現象。,17936,水洘
21905,朗讀,以正確的聲韻調，清晰的聲音來唸文章。,14378,暗唸
21905,朗讀,以正確的聲韻調，清晰的聲音來唸文章。,20175,越唸
21905,朗讀,以正確的聲韻調，清晰的聲音來唸文章。,20176,暗記
21918,轉來去,回家。,22551,出去
21921,奶齒,乳牙。小兒最初生長，未經脫換的牙齒。,27298,正齒
21925,這號,這一個、這種。,27302,彼種
21925,這號,這一個、這種。,27304,彼樣
21935,末趁,低獲利。扣除營運成本後的純益很少。,27343,趁大錢
21940,平棒,公正持平。,27346,攔孤人
21947,躼跤蠓,高個子。稱身材高的人。,27348,矮仔財
21947,躼跤蠓,高個子。稱身材高的人。,27349,矮仔猴
21947,躼跤蠓,高個子。稱身材高的人。,27350,矮仔
21947,躼跤蠓,高個子。稱身材高的人。,27351,矮仔鼓
21947,躼跤蠓,高個子。稱身材高的人。,27352,矮鼓丁
21950,過冬鳥,候鳥。隨著季節變化，進行方向確定的、有規律的和長距離遷居活動的鳥類。,27353,在地鳥
21972,暗摸摸,形容光線不明亮、陰暗漆黑的樣子。,27373,光焱焱
21972,暗摸摸,形容光線不明亮、陰暗漆黑的樣子。,27375,光爍爍
21978,出外人,離鄉背井在外地求學或就業的人。,2163,在地人
21978,出外人,離鄉背井在外地求學或就業的人。,18068,本地人
21998,健欉,指以棵做單位的樹木、花果、蔬菜等植物長得枝繁葉茂。,27410,蔫蔫
21998,健欉,指以棵做單位的樹木、花果、蔬菜等植物長得枝繁葉茂。,27411,敗欉
22004,業命,勞碌命。,27431,命底好
22004,業命,勞碌命。,27432,媠命
22004,業命,勞碌命。,27433,清閒命
22023,出來去,出去。從裡面到外邊去。往外面移動。,27454,入來去
22025,在室男,處男。尚未結婚的男性。,24301,處女
22045,內角,裡面。,27671,外角
22046,內角,數學名詞。多邊形內的各角皆稱之為內角。,27671,外角
22065,變撚,方法。,20296,變無路
22065,變撚,方法。,20297,變無空
22065,變撚,方法。,27513,執死訣
22066,變撚,懂得變通，找到新方法解決問題。,20298,變無撚
22067,辟邪,驅除邪惡。,25159,祈福
22068,辟邪,能夠辟邪除魔的。,25159,祈福
22069,百歲年老,指人高壽而善終，或期許如此。,27511,生長命短
22070,規山坪,滿山遍野。,26802,稀罕
22071,規山坪,比喻到處都是。,26802,稀罕
22074,光映映,形容非常光亮的樣子。,19723,暗挲挲
22074,光映映,形容非常光亮的樣子。,27523,暗眠摸山貓
22075,光炎炎,形容光亮耀眼、輝煌奪目的樣子。,19723,暗挲挲
22075,光炎炎,形容光亮耀眼、輝煌奪目的樣子。,27523,暗眠摸山貓
22076,熱翕翕,非常悶熱。,25233,清涼
22077,好狗運,嘲諷或自嘲意外得到的好運。,18864,衰潲運
22081,無命,失去性命，即死亡、死去、喪命。,27532,健在
22082,無價,價錢不符預期、沒有利潤，多用在動詞之後做為補語。,27534,有價
22086,暗報,晚報，於下午或傍晚出刊的報紙。,27542,日報
22086,暗報,晚報，於下午或傍晚出刊的報紙。,27543,早報
22093,烏寒,陰天又寒冷的。,27552,燒熇
22125,㾀屎,器量狹小，用度過分節儉。吝嗇，不大方。,17765,大手面
22149,圓棍棍,身材胖胖的樣子。,19466,瘦疕疕
22150,勇跤,強壯有力。,27644,虛荏
22152,韌布布,肉、紙等堅韌不易斷。,27646,脆屑屑
22155,苦湯,代表因為某種原因導致、而必須承受的痛苦。,27653,甜頭
22156,當初時,當初、那時候。,27663,這當陣
22220,釉,光滑平順。,7715,粗
22383,小盤,零售商。將貨品零星出售給消費者的商人。,17823,大割
22383,小盤,零售商。將貨品零星出售給消費者的商人。,22699,大盤
22399,雞喙變鴨喙,尖利的雞嘴變成扁平的鴨嘴。喻一個人起初能言善辯，後因證據出現自知理虧，變得啞口無言。,28136,死鴨仔硬喙桮
22407,割引,按售價減除幾成賣出。,28149,吊懸價
22409,大圓,指貨幣幣值較高，具有較高的購買力。,28151,細圓
22414,笑色,淺色。,24104,深色
22418,半仿仔,不同種族的男女所生育的孩子。,28161,土生仔
22418,半仿仔,不同種族的男女所生育的孩子。,28162,土生囝
22439,慢手,慢吞吞、動作遲緩。,20226,緊跤緊手
22443,素料,泛指素食食物。,18262,肉食
22451,細漢的,小弟、手下或供人差遣的人。通常用來稱呼團體中位階較低者。,28216,大尾的
22480,無時無陣,不定時。無固定的時間。,23733,定時
22487,漚搭,壞人、惡人。,25055,好人
22494,熱底,一般指體質偏熱的人。,28268,冷底
22508,近兜,附近。,28283,遠兜
22512,內家,婆家。指女人出嫁後，丈夫的父母家。,18031,外家厝
22533,厚味,形容東西的味道又濃又重。,28311,無味無素
22542,會和,划算。,18859,袂和盤
22545,慢死趖,慢吞吞。形容動作緩慢，拖泥帶水。,20226,緊跤緊手
22551,懊嘟面,表情嚴肅，略帶怒氣且沒有笑容的臭臉。,18822,笑面
22553,花哩囉,形容色彩繁多而雜亂。,27252,素色
22553,花哩囉,形容色彩繁多而雜亂。,28347,素素
22560,輕蠓蠓,形容非常的輕。,28352,重篤篤
22570,押尾,殿後、押後。,28362,做前
22576,怪奇,奇怪、奇特、蹊蹺。,22240,正常
22576,怪奇,奇怪、奇特、蹊蹺。,23577,平凡
22577,趕狂,急忙、倉皇、慌慌張張。,26738,穩重
22583,歹星,惡人。,25055,好人
22592,坦橫生,手先生出來的橫向難產。,28397,安產
22594,親戽戽,熟似親密狀、熱絡狀。,24038,冷淡
22594,親戽戽,熟似親密狀、熱絡狀。,24466,冷漠
22596,大箍把,指身材高大。有時可以用來貶抑人空有高大的外貌卻不中用。,28400,幼枝骨
22622,散食,貧窮。缺乏錢財，生活拮据困乏。,18251,有錢
22631,出破,不該讓人知道的事情被發現或揭發。,28431,遮崁
22631,出破,不該讓人知道的事情被發現或揭發。,28432,掩揜
22632,後回,下次、下回。,19058,頂回
22633,後改,下次、下回。,19058,頂回
22637,喝聲,出聲回應、表態。對於別人的發問，出聲表示贊同與否。,28438,激恬恬
22637,喝聲,出聲回應、表態。對於別人的發問，出聲表示贊同與否。,28439,恬喌喌
22653,得定,鎮定、穩重。,28456,無時定
22653,得定,鎮定、穩重。,28457,無一時定
22653,得定,鎮定、穩重。,28458,無得無定
22673,推軟仔,柿子挑軟的吃，意指欺負弱小或專挑沒有難度、容易完成的事情做。,28479,拚硬仔
22674,實實,形容裝得滿滿、塞得滿滿的樣子。,28482,櫳櫳
22681,注心,專心、用心。,28490,分心
22684,花血,花俏豔麗。,27252,素色
22688,平正,公平、公正、無私心。,28502,攔孤爿
22699,會見眾,上得了檯面。為人行事、作品可公開受品評。,28516,袂看口得
22718,幼工,細活、細工。精密細緻的工作。,28542,粗工課
22732,有法度,有辦法、有能力。,28569,無辦法
22732,有法度,有辦法、有能力。,28571,無才調
22753,擘腹,擔心、煩惱。,2300,安心
22753,擘腹,擔心、煩惱。,23602,放心
22830,畏羞人,害羞、靦腆。,19751,大段
22835,落工,工作時間到，離開工作岡位。,22590,上班
22835,落工,工作時間到，離開工作岡位。,29095,起工
22836,理氣,合乎常理常規的行事作為。,19153,無理
22840,薄本,資本額少的小生意。,29105,粗本
22849,喝價,喊價、叫價。對物品開出價格，通常用於拍賣物品的場所。,29118,添價
22849,喝價,喊價、叫價。對物品開出價格，通常用於拍賣物品的場所。,29119,疊價
22850,喝價,討價還價。買賣時，賣方索價，買方還價，以達到各自的理想價錢。,29118,添價
22850,喝價,討價還價。買賣時，賣方索價，買方還價，以達到各自的理想價錢。,29119,疊價
22852,粗糠耳,乾耳朵。易排出乾性耳垢的耳朵。,29122,油耳
22852,粗糠耳,乾耳朵。易排出乾性耳垢的耳朵。,29123,澹耳
22853,油耳,溼耳朵。易排出溼性耳垢的耳朵。,29121,焦耳
22854,粗本,資本雄厚。,29126,短本
22863,重篤篤,非常重。,29139,輕bóng-bóng
22878,茈鳥仔,指對事物或工作尚不熟悉、缺乏經驗的新人。,24223,老鳥
22879,茈鳥仔,指無經驗的少年人。,24223,老鳥
22886,居財,命運註定有財產。留得住、守得住財富。,29190,落財
22886,居財,命運註定有財產。留得住、守得住財富。,29191,破財
22900,出腳,出人頭地、出類拔萃。喻人才能出眾，高出一般人之上。,23577,平凡
22905,外務,正式事務以外的工作。,29218,內務
22906,外務,以外出接洽客戶為主的工作。,29218,內務
22923,韌鼻,不乾脆。,18844,脆氣
22923,韌鼻,不乾脆。,29238,了捷
22923,韌鼻,不乾脆。,29239,斬截
22923,韌鼻,不乾脆。,29240,蔥脆
22923,韌鼻,不乾脆。,29241,脆皮
22929,凊面,冷漠不親切的表情。凶惡、憤怒或難看的臉色。,18822,笑面
22934,倒頭生,逆產、臀位分娩。,28397,安產
22943,素色,白色、素色、淡雅的顏色。,29265,花囉囉
22947,押尾後,殿後。走在最後面。,28362,做前
22947,押尾後,殿後。走在最後面。,29268,做頭前
22952,捙桶倒,大雨傾盆而下。,29275,好風日
22955,捽後炮,暗箭傷人。,29284,光明正大
22955,捽後炮,暗箭傷人。,29285,明氣
22957,漚翕,天氣悶熱，空氣又不流通。,29287,涼爽
22965,斷站,指做某件事或工程，因故於進行中停止或擱置。,29298,紲接
22974,緊跤,腳勤。,29304,慢吞吞
22977,飽流,漲潮。,17936,水洘
22977,飽流,漲潮。,20106,水退
22977,飽流,漲潮。,29311,向流
22978,水洘,退潮。,17948,水滇
22978,水洘,退潮。,18989,滇流
22978,水洘,退潮。,19627,翻流
22978,水洘,退潮。,29309,滿流
22978,水洘,退潮。,29310,南流
22985,鬧熱滾滾,場面非常熱鬧、人聲鼎沸的樣子。,25075,冷清
22985,鬧熱滾滾,場面非常熱鬧、人聲鼎沸的樣子。,26431,淒涼
22985,鬧熱滾滾,場面非常熱鬧、人聲鼎沸的樣子。,29322,蕭條
22985,鬧熱滾滾,場面非常熱鬧、人聲鼎沸的樣子。,29323,俗
23000,注血,輸血。將血液注到人體內。,28909,抽血
23027,大食,指食量很大。,19018,細食
23027,大食,指食量很大。,29375,貓仔食
23029,落妝,卸妝。洗除臉上的化妝。,22549,化妝
23029,落妝,卸妝。洗除臉上的化妝。,29377,畫妝
23030,慷交,慷慨好客，交遊廣闊。,20010,孤孀
23047,後半世人,下半生、下半輩子。,29402,頂半世人
23047,後半世人,下半生、下半輩子。,29403,前半世人
23071,堅風,風乾。蔬菜、肉類等物品被風吹乾，水份因減少而變得乾硬。,29439,上潤
23091,生凊風,陰風、寒風、冷風。,29467,燒氣
23091,生凊風,陰風、寒風、冷風。,29468,燒風
23101,執硬,頑固、固執。堅持己見不知變通，抵死也不改變。,29488,知轉頭
23104,成款,像樣。達到令人滿意的樣子。,29492,毋成款
23110,滑溜,光滑。,29399,粗柏柏
23118,對面風,逆風。迎面而來的風。,9250,順風
23125,光焱焱,明晃晃、光亮。,29523,烏lu-lu
23125,光焱焱,明晃晃、光亮。,29524,烏khâm-khâm
23126,煞工,下班、工作結束。,22590,上班
23128,過電,導電。指物體能夠傳導、傳送電流。,24385,斷電
23129,過電,通電。使電流通過。,24385,斷電
23133,見天,抬頭向天看。,29534,向頭
23134,見天,迷糊、漫不經心。,29536,兢心
23155,緩期,延期。延後原本所預定的期程。,22943,提早
23172,勻聊仔,慢慢地、謹慎小心地。,29576,緊迸迸
23172,勻聊仔,慢慢地、謹慎小心地。,29577,趕迸迸
23178,鈍跤鈍手,笨手笨腳。形容動作或手腳不靈活。,20226,緊跤緊手
23183,舊厝,舊家、老家。原來的家。,29586,新厝
23192,烏肉底,天生膚色黝黑。,29594,白肉底
23215,觸,違逆、辜負。違逆別人的想法或辜負他人。,26688,遵照
23215,觸,違逆、辜負。違逆別人的想法或辜負他人。,29656,順趁
